EqpID,ModuleName,E10State,StatusCode,ProcessStatus,PutTime
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:44:47"
"Z2-BT02","TEXTURE 2","PRD",0,"ProcessEnd","2020-08-06 02:45:35"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:45:44"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:45:59"
"Z2-BT02","TEXTURE 2","PRD",1,"ProcessStart","2020-08-06 02:46:10"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:46:38"
"Z2-BT02","WAD3","PRD",1,"ProcessStart","2020-08-06 02:46:48"
"Z2-BT02","WAD 1","PRD",0,"ProcessEnd","2020-08-06 02:47:10"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 02:47:21"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:47:33"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:47:50"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:48:00"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:48:10"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:48:25"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:48:29"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:48:45"
"Z2-BT02","TEXTURE 1","PRD",0,"ProcessEnd","2020-08-06 02:49:17"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:49:26"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:50:40"
"Z2-BT02","WAD 1","PRD",1,"ProcessStart","2020-08-06 02:50:49"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:51:01"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:51:15"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:51:18"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:51:25"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:51:35"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:51:45"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:51:46"
"Z2-BT02","WAD 2","PRD",0,"ProcessEnd","2020-08-06 02:52:04"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:52:06"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 02:52:13"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:52:22"
"Z2-BT02","TEXTURE 2","PRD",0,"ProcessEnd","2020-08-06 02:52:50"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 02:53:00"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:54:05"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:54:08"
"Z2-BT02","TEXTURE 1","PRD",1,"ProcessStart","2020-08-06 02:54:14"
"Z2-BT02","WAD 2","PRD",1,"ProcessStart","2020-08-06 02:54:18"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:54:35"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:54:36"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:54:45"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:54:52"
"Z2-BT02","WAD3","PRD",0,"ProcessEnd","2020-08-06 02:55:08"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 02:55:17"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:55:31"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:55:40"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:55:40"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 02:55:59"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 02:56:15"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 02:57:26"
"Z2-BT02","TEXTURE 2","PRD",1,"ProcessStart","2020-08-06 02:57:37"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 02:57:42"
"Z2-BT02","WAD3","PRD",1,"ProcessStart","2020-08-06 02:57:52"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 02:58:30"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 02:58:30"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 02:58:40"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 02:58:47"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 02:59:02"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 02:59:06"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 02:59:15"
"Z2-BT02","WAD 1","PRD",0,"ProcessEnd","2020-08-06 02:59:34"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 02:59:45"
"Z2-BT02","TEXTURE 1","PRD",0,"ProcessEnd","2020-08-06 03:00:55"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 03:01:04"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 03:01:20"
"Z2-BT02","TEXTURE 1","PRD",1,"ProcessStart","2020-08-06 03:01:29"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 03:01:37"
"Z2-BT02","WAD 1","PRD",1,"ProcessStart","2020-08-06 03:01:46"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 03:01:52"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 03:02:01"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 03:02:05"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 03:02:22"
"Z2-BT02","WAD 2","PRD",0,"ProcessEnd","2020-08-06 03:02:38"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 03:02:48"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 03:03:45"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 03:04:01"
"Z2-BT02","TEXTURE 2","PRD",0,"ProcessEnd","2020-08-06 03:04:17"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 03:04:27"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 03:04:42"
"Z2-BT02","TEXTURE 2","PRD",1,"ProcessStart","2020-08-06 03:04:53"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 03:05:12"
"Z2-BT02","WAD 2","PRD",1,"ProcessStart","2020-08-06 03:05:22"
"Z2-BT02","WAD3","PRD",0,"ProcessEnd","2020-08-06 03:06:23"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 03:06:32"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 03:06:52"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 03:06:57"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 03:07:01"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 03:07:20"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 03:07:36"
"Z2-BT02","TEXTURE 1","PRD",0,"ProcessEnd","2020-08-06 03:08:10"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 03:08:19"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 03:09:47"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 03:09:51"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 03:09:57"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 03:10:08"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 03:10:18"
"Z2-BT02","WAD 1","PRD",0,"ProcessEnd","2020-08-06 03:10:20"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 03:10:30"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 03:10:43"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 03:10:52"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 03:11:00"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 03:11:16"
"Z2-BT02","TEXTURE 2","PRD",0,"ProcessEnd","2020-08-06 03:11:33"
"Z2-BT02","RINSE 2","PRD",1,"ProcessStart","2020-08-06 03:11:42"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 03:12:37"
"Z2-BT02","TEXTURE 1","PRD",1,"ProcessStart","2020-08-06 03:12:46"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 03:12:58"
"Z2-BT02","WAD 1","PRD",1,"ProcessStart","2020-08-06 03:13:07"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 03:13:08"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 03:13:17"
"Z2-BT02","WAD 2","PRD",0,"ProcessEnd","2020-08-06 03:13:42"
"Z2-BT02","Unload Station","PRD",1,"ProcessStart","2020-08-06 03:13:52"
"Z2-BT02","HU|HF","PRD",0,"ProcessEnd","2020-08-06 03:14:05"
"Z2-BT02","PCS 1","PRD",1,"ProcessStart","2020-08-06 03:14:12"
"Z2-BT02","HWD","PRD",1,"ProcessStart","2020-08-06 03:14:21"
"Z2-BT02","DIO3|HU","PRD",0,"ProcessEnd","2020-08-06 03:14:32"
"Z2-BT02","HU|HF","PRD",1,"ProcessStart","2020-08-06 03:14:41"
"Z2-BT02","RINSE 2","PRD",0,"ProcessEnd","2020-08-06 03:14:45"
"Z2-BT02","DIO3|HU","PRD",1,"ProcessStart","2020-08-06 03:15:01"
"Z2-BT02","RINSE 1","PRD",0,"ProcessEnd","2020-08-06 03:15:57"
"Z2-BT02","TEXTURE 2","PRD",1,"ProcessStart","2020-08-06 03:16:08"
"Z2-BT02","PCS 1","PRD",0,"ProcessEnd","2020-08-06 03:17:02"
"Z2-BT02","RINSE 1","PRD",1,"ProcessStart","2020-08-06 03:17:12"
"Z2-BT02","HWD","PRD",0,"ProcessEnd","2020-08-06 03:17:12"
"Z2-BT02","WAD 2","PRD",1,"ProcessStart","2020-08-06 03:17:21"
